I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,00422259,A,,004,22,259,ALFA ROMEO,147 2.0 T.SPARK SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,5890000,5600000,5320000,5030000,4780000,4540000,4310000,4080000,,,
I,00405259,A,,004,05,259,ALFA ROMEO,147 2.0 T.SPARK SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,5890000,5600000,5320000,5030000,4780000,4540000,4310000,4080000,,,
I,00405243,A,,004,05,243,ALFA ROMEO,147 2.0MPI 16V SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,5890000,5600000,5320000,5030000,4780000,4540000,4310000,4080000,,,
I,00405242,A,,004,05,242,ALFA ROMEO,147 2.0MPI 16V SELESPEED SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,6240000,5930000,5630000,5320000,5060000,4810000,4570000,4320000,4100000,3890000,
I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,00405218,A,,004,05,218,ALFA ROMEO,147 2.0MPI 16V TSPARK SELESSEPDEAEND 5 PUERTAS,,,,,,,,,,,,,,,,6240000,5930000,5630000,5320000,5060000,4810000,4570000,4320000,4100000,3890000,
I,00422228,A,,004,22,228,ALFA ROMEO,147 3.2 GTA V6 24V SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,17340000,16470000,15650000,14790000,14050000,13350000,,,,,
I,00422265,A,,004,22,265,ALFA ROMEO,147 SELESPEED SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,6240000,5930000,5630000,5320000,5060000,4810000,4570000,4320000,4100000,3890000,
I,00405265,A,,004,05,265,ALFA ROMEO,147 SELESPEED SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,6240000,5930000,5630000,5320000,5060000,4810000,4570000,4320000,4100000,3890000,
I,00422246,A,,004,22,246,ALFA ROMEO,147 T.SPARK 1.6 SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,5200000,4940000,4690000,4440000,4220000,,,,,,
I,00405246,A,,004,05,246,ALFA ROMEO,147 T.SPARK 1.6 SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,5550000,5270000,5010000,4730000,4500000,,,,,,
I,00422226,A,,004,22,226,ALFA ROMEO,147 TWIN SPARK 1.6 SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,5200000,4940000,4690000,4440000,4220000,,,,,,
I,00405226,A,,004,05,226,ALFA ROMEO,147 TWIN SPARK 1.6 SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,5200000,4940000,4690000,4440000,4220000,,,,,,
I,00402281,A,,004,02,281,ALFA ROMEO,156 SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2230000,2120000,2010000,1910000
I,00402287,A,,004,02,287,ALFA ROMEO,156 1.6 T.SPARK SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,2520000,2430000,2330000,2230000,,,
I,00402166,A,,004,02,166,ALFA ROMEO,156 1.6TS SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,2760000,2620000,2490000,2350000,2240000,2130000,2020000
I,00402258,A,,004,02,258,ALFA ROMEO,156 1.8 T.SPARK SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,2760000,2620000,2490000,2350000,2240000,2130000,2020000
I,00402167,A,,004,02,167,ALFA ROMEO,156 1.8TS SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,2760000,2620000,2490000,2350000,2240000,2130000,2020000
I,00404269,A,,004,04,269,ALFA ROMEO,156 1.9 JTD RURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,2170000,2060000,1960000,1860000,1770000
I,00404308,A,,004,04,308,ALFA ROMEO,156 1.9 JTD SPORTWAGON RURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2160000,2050000,1950000
I,00404206,A,,004,04,206,ALFA ROMEO,156 2.0 T. SPARK SPORTWAGROUNRAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,2170000,2060000,1960000,1860000,1770000
I,00402168,A,,004,02,168,ALFA ROMEO,156 2.0TS SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,2760000,2620000,2490000,2350000,2240000,2130000,2020000
I,00402170,A,,004,02,170,ALFA ROMEO,156 2.4 JTD SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2400000,2280000,2170000,2060000
I,00404207,A,,004,04,207,ALFA ROMEO,156 2.4 JTD SPORTWAGON RURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2160000,2050000,1950000
I,00402191,A,,004,02,191,ALFA ROMEO,156 2.4TD SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,2400000,2280000,2170000,2060000
I,00402190,A,,004,02,190,ALFA ROMEO,156 2.5 V6 24V SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,2760000,2620000,2480000,2350000,2240000,2130000
I,00404208,A,,004,04,208,ALFA ROMEO,156 2.5 V6 24V SPORTWAGORNURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,2060000,1960000,1860000
I,00404231,A,,004,04,231,ALFA ROMEO,156 CROSSWAGON Q4 1.9 JTRDURAL 5 PUERTAS,,,,,,,,,,,,,,,,,,,,2890000,2750000,2620000,2480000,,,
I,00402221,A,,004,02,221,ALFA ROMEO,156 GTA 3.2 V6 24V SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,2760000,2620000,2480000,2350000,2240000,2130000
I,00402272,A,,004,02,272,ALFA ROMEO,159 1.8 TBI SEDAN 4 PUERTAS,,,,,,,,,,,,,,4920000,4770000,4630000,,,,,,,,,,
I,00404256,A,,004,04,256,ALFA ROMEO,159 1.9 JTDM RURAL 5 PUERTAS,,,,,,,,,,,,,,,,4630000,4500000,4370000,4220000,4080000,,,,,,
I,00402256,A,,004,02,256,ALFA ROMEO,159 1.9 JTDM SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,4630000,4500000,4370000,4220000,4080000,,,,,,
I,00402237,A,,004,02,237,ALFA ROMEO,159 1.9JTD SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,4630000,4500000,4370000,4220000,4080000,,,,,,
