I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,04479775,A,,044,79,775,FIAT,500 LOUNGE AIR AT 1.4 16V CONVERTIBLE,,,,,,,18650000,17418700,16156400,15072400,14200000,13400000,12738100,,,,,,,,,,,,,
I,04426775,A,,044,26,775,FIAT,500 LOUNGE AIR AT 1.4 16V DESCAPOTABLE,,,,,,,18650000,17418700,16156400,15072400,14200000,13400000,12738100,,,,,,,,,,,,,
I,04422775,A,,044,22,775,FIAT,500 LOUNGE AIR AT 1.4 16V SEDAN 3 PUERTAS,,,,,,,,,15146700,14158900,13363600,12636300,12032500,11489700,,,,,,,,,,,,
I,04422676,A,,044,22,676,FIAT,500 SPORT 16V SEDAN 3 PUERTAS,,,,,,,,,,,,,,,9363200,8500000,7700000,7000000,,,,,,,,
I,04422774,A,,044,22,774,FIAT,500 SPORT AIR 1.4 16V SEDAN 3 PUERTAS,,,,,,,,,,,,,11000000,10500000,10000000,,,,,,,,,,,
I,04405920,A,,044,05,920,FIAT,500L SEDAN 5 PUERTAS,,,,,,,,,,13000000,12000000,11000000,10000000,,,,,,,,,,,,,
I,04402805,A,,044,02,805,FIAT,500L 1.4 16V SEDAN 4 PUERTAS,,,,,,,,,,13000000,12000000,11000000,10000000,,,,,,,,,,,,,
I,04405805,A,,044,05,805,FIAT,500L 1.4 16V SEDAN 5 PUERTAS,,,,,,,,,,13000000,12000000,11000000,10000000,,,,,,,,,,,,,
I,04405916,A,,044,05,916,FIAT,500X SEDAN 5 PUERTAS,,,,,,,17000000,16000000,15000000,,,,,,,,,,,,,,,,,
I,04422878,A,,044,22,878,FIAT,500X CROSS 1.4 16V AT9 SEDAN 3 PUERTAS,,,,,,,23000000,21000000,,,,,,,,,,,,,,,,,,
I,04410878,A,,044,10,878,FIAT,500X CROSS 1.4 16V AT9 TODO TERRENO,,,,,,,23000000,21000000,,,,,,,,,,,,,,,,,,
I,04410979,A,,044,10,979,FIAT,500X CROSS AT9 HB 4X4 1.4 ATOUDTO TERRENO,,,,,,,23000000,21000000,,,,,,,,,,,,,,,,,,
I,04404875,A,,044,04,875,FIAT,500X POP 1.4 16V RURAL 5 PUERTAS,,,,,,,17000000,16000000,15000000,,,,,,,,,,,,,,,,,
I,04405875,A,,044,05,875,FIAT,500X POP 1.4 16V SEDAN 5 PUERTAS,,,,,,,17000000,16000000,15000000,,,,,,,,,,,,,,,,,
I,04405866,A,,044,05,866,FIAT,ARGO DRIVE 1.3 SEDAN 5 PUERTAS,,,14121400,13449000,12808500,11868000,10942900,10137000,9390700,,,,,,,,,,,,,,,,,
I,04405864,A,,044,05,864,FIAT,ARGO HGT 1.8 SEDAN 5 PUERTAS,,,,17641300,16801200,15567500,14354100,13297000,12318000,,,,,,,,,,,,,,,,,
I,04405865,A,,044,05,865,FIAT,ARGO PRECISION 1.8 SEDAN 5 PUERTAS,,,,15639400,14894700,13801000,12725200,11788100,10920200,,,,,,,,,,,,,,,,,
I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,04405886,A,,044,05,886,FIAT,ARGO PRECISION 1.8 AT6 SEDAN 5 PUERTAS,,,,18129900,17266500,15998700,14751600,13665200,12659100,,,,,,,,,,,,,,,,,
I,04421223,A,,044,21,223,FIAT,BARCHETTA 1.8 16V COUPE,,,,,,,,,,,,,,,,,,,,,,,,,5066500,4813200
I,04405616,A,,044,05,616,FIAT,BRAVA ELX 1.6 16V SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,972800,936300,899800,863300
I,04405532,A,,044,05,532,FIAT,BRAVA ELX 1.6 16V MPI SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,972800,936300,899800,863300
N,0281783,A,028,17,17,83,FIAT,BRAVA ELX 1.6 MPI 16V SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,972800,936300,899800,863300
N,0481783,A,048,17,17,83,FIAT,BRAVA ELX 1.6 MPI 16V SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,972800,936300,899800,863300
I,04405225,A,,044,05,225,FIAT,BRAVA ELX 1.8 16V SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,972800,936300,899800,863300
N,0281784,A,028,17,17,84,FIAT,BRAVA ELX 1.9 JTD SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,1033600,972800,912000,875500
I,04405530,A,,044,05,530,FIAT,BRAVA ELX 1.9 JTD SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,1033600,972800,912000,875500
N,0481784,A,048,17,17,84,FIAT,BRAVA ELX 1.9 JTD SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,1033600,972800,912000,875500
I,04405763,A,,044,05,763,FIAT,BRAVO 1.4 16V DYNAMIC SEDAN 5 PUERTAS,,,,,,,,,,,8524400,8059500,7800200,7623900,,,,,,,,,,,,
I,04405762,A,,044,05,762,FIAT,BRAVO 1.4 16V SPORT SEDAN 5 PUERTAS,,,,,,,,,,,,8236600,7976500,7800200,,,,,,,,,,,,
I,04405829,A,,044,05,829,FIAT,BRAVO 1.4 DYNAMIC SEDAN 5 PUERTAS,,,,,,,,,,,8524400,8059500,7800200,7623900,,,,,,,,,,,,
I,04405747,A,,044,05,747,FIAT,BRAVO 1.4 SPORT SEDAN 5 PUERTAS,,,,,,,,,,,,8236600,7976500,7800200,,,,,,,,,,,,
I,04422488,A,,044,22,488,FIAT,BRAVO 1.6 SX SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1114600,1058900
I,04405798,A,,044,05,798,FIAT,BRAVO 1.9 SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,3217300,3108200,,,,,,
I,04405674,A,,044,05,674,FIAT,BRAVO 1.9 JTD 16V SPORT SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,3217300,3108200,,,,,,
N,02817BX,A,028,17,17,BX,FIAT,BRAVO DYNAMIC 1.4 TURBOSEDAN 5 PUERTAS,,,,,,,,,,,8524400,8059500,7800200,7623900,,,,,,,,,,,,
N,04817BX,A,048,17,17,BX,FIAT,BRAVO DYNAMIC 1.4 TURBOSEDAN 5 PUERTAS,,,,,,,,,,,8524400,8059500,7800200,7623900,,,,,,,,,,,,
N,02817BW,A,028,17,17,BW,FIAT,BRAVO DYNAMIC 1.6 MULTIJSEETDAN 5 PUERTAS,,,,,,,,,,,,8148000,7888300,7712000,,,,,,,,,,,,
N,04817BW,A,048,17,17,BW,FIAT,BRAVO DYNAMIC 1.6 MULTIJSEETDAN 5 PUERTAS,,,,,,,,,,,,8148000,7888300,7712000,,,,,,,,,,,,
I,04422224,A,,044,22,224,FIAT,BRAVO HGT 2.0 16V SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1114600,1058900
I,04422474,A,,044,22,474,FIAT,BRAVO HGT 2.0 20V SEDAN 3 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1114600,1058900
N,02817BU,A,028,17,17,BU,FIAT,BRAVO SPORT 1.4 TURBO SEDAN 5 PUERTAS,,,,,,,,,,,,8236600,7976500,7800200,,,,,,,,,,,,
N,04817BU,A,048,17,17,BU,FIAT,BRAVO SPORT 1.4 TURBO SEDAN 5 PUERTAS,,,,,,,,,,,,8236600,7976500,7800200,,,,,,,,,,,,
I,04405077,A,,044,05,077,FIAT,CROMA SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1289400,1267900
I,04405638,A,,044,05,638,FIAT,CROMA 1.9JTD 16V 150CV SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1289400,1267900
I,04402201,A,,044,02,201,FIAT,CROMA 2.0 TDI SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1289400,1267900
I,04405201,A,,044,05,201,FIAT,CROMA 2.0 TDI SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1289400,1267900
I,04405670,A,,044,05,670,FIAT,CROMA 2.2 MPI 16V SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1289400,1267900
I,04405671,A,,044,05,671,FIAT,CROMA 2.4 MJ 20V SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1289400,1267900
I,04402029,A,,044,02,029,FIAT,CROMA TURBO DIESEL SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1289400,1267900
I,04405029,A,,044,05,029,FIAT,CROMA TURBO DIESEL SEDAN 5 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,1289400,1267900
N,04817CN,A,048,17,12,CN,FIAT,CRONOS 1.3 GSE BZ SEDAN 4 PUERTAS,,,12000000,11000000,10500000,,,,,,,,,,,,,,,,,,,,,
N,04817CM,A,048,17,12,CM,FIAT,CRONOS 1.3 MT SEDAN 4 PUERTAS,,,12000000,11000000,10500000,,,,,,,,,,,,,,,,,,,,,
N,04817CP,A,048,17,12,CP,FIAT,CRONOS DRIVE 1.3 GSE BZ SEDAN 4 PUERTAS,,23400000,15000000,14000000,,,,,,,,,,,,,,,,,,,,,,
N,04817CR,A,048,17,12,CR,FIAT,CRONOS DRIVE 1.3 GSE CVT BSEZDAN 4 PUERTAS,,20540000,14450000,13600000,,,,,,,,,,,,,,,,,,,,,,
N,04817CJ,A,048,17,12,CJ,FIAT,CRONOS DRIVE 1.3 MT SEDAN 4 PUERTAS,,,13000000,12000000,11000000,10000000,9000000,8500000,,,,,,,,,,,,,,,,,,
N,04817CT,A,048,17,12,CT,FIAT,CRONOS LIKE 1.3 GSE BZ SEDAN 4 PUERTAS,,18280000,14000000,,,,,,,,,,,,,,,,,,,,,,,
N,04817CS,A,048,17,12,CS,FIAT,CRONOS PRECISION 1.3 GSE SCEVDTA BNZ 4 PUERTAS,,23420000,16200000,15300000,,,,,,,,,,,,,,,,,,,,,,
N,04817CL,A,048,17,12,CL,FIAT,CRONOS PRECISION 1.8 AT SEDAN 4 PUERTAS,,,19000000,18050000,17147500,16290100,15475600,14701800,,,,,,,,,,,,,,,,,,
N,04817CK,A,048,17,12,CK,FIAT,CRONOS PRECISION 1.8 MT SEDAN 4 PUERTAS,,,15000000,14250000,13537500,12860600,12217600,11606700,,,,,,,,,,,,,,,,,,
N,04817CU,A,048,17,12,CU,FIAT,CRONOS STILE 1.3 GSE BZ SEDAN 4 PUERTAS,,21750000,15300000,,,,,,,,,,,,,,,,,,,,,,,
I,04412822,A,,044,12,822,FIAT,DOBLO 1.3 JTD FAMILIAR,,,,,,,,,,,,,,,,5345000,5184700,5029100,4854400,4708800,4567500,4430500,4276500,4148200,4023800,3903100
N,02817BP,A,028,17,41,BP,FIAT,DOBLO 1.4 16V FAMILIAR,,,,,,,,,,7925600,7335400,6821900,6313700,5871800,,,,,,,,,,,,
N,04817BP,A,048,17,41,BP,FIAT,DOBLO 1.4 16V FAMILIAR,,,,,,,,,,7925600,7335400,6821900,6313700,5871800,,,,,,,,,,,,
I,04412720,A,,044,12,720,FIAT,DOBLO 1.9 ELX FAMILIAR,,,,,,,,,,,,,,,,5345000,5184700,5029100,4854400,4708800,4567500,4430500,4276500,4148200,4023800,3903100
I,04412801,A,,044,12,801,FIAT,DOBLO 1.9 MULTIJET FAMILIAR,,,,,,,,,,,,,,,,5345000,5184700,5029100,4854400,4708800,4567500,4430500,4276500,4148200,4023800,3903100
I,04412561,A,,044,12,561,FIAT,DOBLO 1.9D FAMILIAR,,,,,,,,,,,,,,,,,,,5228400,5067200,4908000,4750500,,,,
N,02817BR,A,028,17,22,BR,FIAT,DOBLO CARGO 1.4 16V FURGON,,,,,,,,,,,6931400,6446200,5966000,5548400,,,,,,,,,,,,
N,04817BR,A,048,17,22,BR,FIAT,DOBLO CARGO 1.4 16V FURGON,,,,,,11147300,10169000,9319900,8541900,7905000,7316300,6804200,6297300,5856500,5420100,,,,,,,,,,,
I,04412141,A,,044,12,141,FIAT,DUCATO FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04413141,A,,044,13,141,FIAT,DUCATO FURGON,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04411141,A,,044,11,141,FIAT,DUCATO PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04415141,A,,044,15,141,FIAT,DUCATO TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,3487400,3091100,2997100,2918200,2839300,2760500
I,04413036,A,,044,13,036,FIAT,DUCATO 1.9D P.C. 10 FURGON,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04413085,A,,044,13,085,FIAT,DUCATO 10 FURGON,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04413518,A,,044,13,518,FIAT,DUCATO 10 1.9D FURGON,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04434318,A,,044,34,318,FIAT,DUCATO 10 Q.LI SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04413023,A,,044,13,023,FIAT,DUCATO 13 FURGON,,,,,,,,,,,,,,,,,,,,,,2853300,2760500,2681600,2602700,2523800
I,04413059,A,,044,13,059,FIAT,DUCATO 14 FURGON,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04413424,A,,044,13,424,FIAT,DUCATO 14 2.5D FURGON,,,,,,,,,,,,,,,,,,,,,,2932600,2839300,2760500,2681600,2602700
I,04434319,A,,044,34,319,FIAT,DUCATO 14 Q/D SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04434323,A,,044,34,323,FIAT,DUCATO 14D SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04434322,A,,044,34,322,FIAT,DUCATO 14Q SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04413504,A,,044,13,504,FIAT,DUCATO 15  1.9D FURGON,,,,,,,,,,,,,,,,,,,,,,3011800,2918200,2839300,2760500,2681600
I,04413503,A,,044,13,503,FIAT,DUCATO 15  2..8D FURGON,,,,,,,,,,,,,,,,,,,,,,2853300,2760500,2681600,2602700,2523800
I,04413505,A,,044,13,505,FIAT,DUCATO 15 2.8 D FURGON,,,,,,,,,,,,,,,,,,,,,,3011800,2918200,2839300,2760500,2681600
I,04413481,A,,044,13,481,FIAT,DUCATO 15 2.8D (CORTO) FURGON,,,,,,,,,,,,,,,,,,,,,,3011800,2918200,2839300,2760500,2681600
I,04415502,A,,044,15,502,FIAT,DUCATO 15 COMBINATO 2.8TDRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,3487400,3091100,2997100,2918200,2839300,2760500
I,04413956,A,,044,13,956,FIAT,DUCATO 180 MULTIJET FURGON,,,,,,,,,,,14226600,13587200,12964800,12328500,11714600,,,,,,,,,,,
I,04413240,A,,044,13,240,FIAT,DUCATO 2.0D P.C.10 FURGON,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04412242,A,,044,12,242,FIAT,DUCATO 2.5D FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,,820400
I,04413237,A,,044,13,237,FIAT,DUCATO 2.5D 14 MAXI FURGON,,,,,,,,,,,,,,,,,,,,,,3011800,2918200,2839300,2760500,2681600
I,04413239,A,,044,13,239,FIAT,DUCATO 2.5D MAXI GRAN VOFULURMGOEN,,,,,,,,,,,,,,,,,,,,,,,,,,820400
I,04412402,A,,044,12,402,FIAT,DUCATO 2.5D P.C. 10 PANORFAAMAILIAR,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04417220,A,,044,17,220,FIAT,DUCATO 2.5D P.M. 14 CHASIS C/CABINA,,,,,,,,,,,,,,,,,,,,,,2853300,2760500,2681600,2602700,2523800
I,04413220,A,,044,13,220,FIAT,DUCATO 2.5D P.M. 14 FURGON,,,,,,,,,,,,,,,,,,,,,,,,,,748100
I,04412226,A,,044,12,226,FIAT,DUCATO 2.5D P.M. PLS FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,,820400
I,04413226,A,,044,13,226,FIAT,DUCATO 2.5D P.M. PLS FURGON,,,,,,,,,,,,,,,,,,,,,,,,,,820400
I,04411234,A,,044,11,234,FIAT,DUCATO 2.5D P.M.14 PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,,,748100
I,04412241,A,,044,12,241,FIAT,DUCATO 2.5D PM PLS FAMILIAR,,,,,,,,,,,,,,,,,,,,,,,,,,748100
I,04413636,A,,044,13,636,FIAT,DUCATO 2.8 JTD FURGON,,,,,,,,,,,,,,,,8723300,8344000,7964700,7548400,7171000,4988800,4639600,,,,
I,04412455,A,,044,12,455,FIAT,DUCATO 2.8D FAMILIAR,,,,,,,,,,,,,,,,,,,,,,2853300,2760500,2681600,2602700,2523800
I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,04413455,A,,044,13,455,FIAT,DUCATO 2.8D FURGON,,,,,,,,,,,,,,,,,,,,,,,,,,748100
I,04415455,A,,044,15,455,FIAT,DUCATO 2.8D TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,2853300,2760500,2681600,2602700,2523800
I,04413459,A,,044,13,459,FIAT,DUCATO 2.8D MAXI GRAN VOFULURMGOEN,,,,,,,,,,,,,,,,,,,,,,3011800,2918200,2839300,2760500,2681600
I,04413467,A,,044,13,467,FIAT,DUCATO 2.8D PM G.V.VETRAFTUOR MGOANXI,,,,,,,,,,,,,,,,,,,,,,3011800,2918200,2839300,2760500,2681600
I,04413469,A,,044,13,469,FIAT,DUCATO 2.8D PM GRAN VOLF.VUERTGROANTO,,,,,,,,,,,,,,,,,,,,,,3011800,2918200,2839300,2760500,2681600
I,04413456,A,,044,13,456,FIAT,DUCATO 2.8D PM14 FURGON,,,,,,,,,,,,,,,,,,,,,,2853300,2760500,2681600,2602700,2523800
I,04413458,A,,044,13,458,FIAT,DUCATO 2.8D PM14 G.V.VETFRUARTGOON,,,,,,,,,,,,,,,,,,,,,,3011800,2918200,2839300,2760500,2681600
I,04413454,A,,044,13,454,FIAT,DUCATO 2.8D PM14 GRAN VFOULRUGMOEN,,,,,,,,,,,,,,,,,,,,,,3011800,2918200,2839300,2760500,2681600
I,04413461,A,,044,13,461,FIAT,DUCATO 2.8D PM15 FURGON,,,,,,,,,,,,,,,,,,,,,,2932600,2839300,2760500,2681600,2602700
I,04413468,A,,044,13,468,FIAT,DUCATO 2.8D PM15 GRAN VFOULRUGMOEN,,,,,,,,,,,,,,,,8875000,8495700,8116400,7699400,7322000,5041300,4688400,,,,
I,04413710,A,,044,13,710,FIAT,DUCATO CARGO 2.3 JTD FURGON,,,,,,,,17197600,16141300,15259000,14386400,13787000,13123900,12527300,11872900,,,,,,,,,,,
I,04413598,A,,044,13,598,FIAT,DUCATO CARGO 2.8 IDTD FURGON,,,,,,,,,,,,,,,,8723300,8344000,7964700,7548400,7171000,4988800,4639600,,,,
I,04413648,A,,044,13,648,FIAT,DUCATO CARGO 2.8JTD FURGON,,,,,,,,,,,,,,,,8723300,8344000,7964700,7548400,7171000,4988800,4639600,,,,
I,04413654,A,,044,13,654,FIAT,DUCATO CARGO 2.8JTD INTEFRUCROGOOLENR,,,,,,,,,,,,,,,,8875000,8495700,8116400,7699400,7322000,5041300,4688400,,,,
I,04413908,A,,044,13,908,FIAT,DUCATO CARGO MEDIO L2H1FU 2R.3G MONULTIJET,,40890000,30630000,27560000,24810000,22330000,20090000,,,,,,,,,,,,,,,,,,,
I,04413907,A,,044,13,907,FIAT,DUCATO CARGO PASO CORTFOU LR1GHO1N 2.3,,39010000,28880000,25990000,23390000,21050000,18940000,,,,,,,,,,,,,,,,,,,
I,04417906,A,,044,17,906,FIAT,DUCATO CHASIS CABINA 2.3CHASIS C/CABINA,,35980000,26250000,23630000,21260000,19140000,17220000,,,,,,,,,,,,,,,,,,,
I,04417909,A,,044,17,909,FIAT,DUCATO CHASIS CABINA L3HC1H 2A.3SIS C/CABINA,,35980000,26250000,23630000,21260000,19140000,17220000,,,,,,,,,,,,,,,,,,,
I,04415569,A,,044,15,569,FIAT,DUCATO COMBINATO TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,3487400,3091100,2997100,2918200,2839300,2760500
I,04415709,A,,044,15,709,FIAT,DUCATO COMBINATO 2.3 JTDTRANS.DE PASAJEROS,,,,,,,,19244900,18158900,17266800,16384600,15825100,14953300,13998800,13218500,12664400,,,,,,,,,,
I,04413602,A,,044,13,602,FIAT,DUCATO COMBINATO 2.8 IDTFDURGON,,,,,,,,,,,,,,,,9823100,9443900,9064600,8643000,8265500,5146300,4786100,,,,
I,04415602,A,,044,15,602,FIAT,DUCATO COMBINATO 2.8 IDTDRANS.DE PASAJEROS,,,,,,,,,,,,,,,,9823100,9443900,9064600,8643000,8265500,5146300,4786100,,,,
I,04413655,A,,044,13,655,FIAT,DUCATO COMBINATO 2.8 JTDFU INRTGEORNCOOLER,,,,,,,,,,,,,,,,9823100,9443900,9064600,8643000,8265500,5146300,4786100,,,,
I,04415655,A,,044,15,655,FIAT,DUCATO COMBINATO 2.8 JTDTR INATNESR.DCEO POALSEARJEROS,,,,,,,,,,,,,,,,9823100,9443900,9064600,8643000,8265500,5146300,4786100,,,,
I,04415519,A,,044,15,519,FIAT,DUCATO COMBINATO 2.8D TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,3487400,3091100,2997100,2918200,2839300,2760500
I,04415649,A,,044,15,649,FIAT,DUCATO COMBINATO 2.8JTDTRANS.DE PASAJEROS,,,,,,,,,,,,,,,,9823100,9443900,9064600,8643000,8265500,5146300,4786100,,,,
I,04415632,A,,044,15,632,FIAT,DUCATO COMBINATO 2.8TDTRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,3487400,3091100,2997100,2918200,2839300,2760500
I,04434320,A,,044,34,320,FIAT,DUCATO D10 SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04434321,A,,044,34,321,FIAT,DUCATO F10 DS SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04413039,A,,044,13,039,FIAT,DUCATO FURGON FURGON,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04413517,A,,044,13,517,FIAT,DUCATO MAXI 2.8D FURGON,,,,,,,,,,,,,,,,,,,,,,3011800,2918200,2839300,2760500,2681600
I,04413896,A,,044,13,896,FIAT,DUCATO MAXI CARGO L4H2 FURGON,,42890000,31940000,28740000,25870000,23280000,20950000,,,,,,,,,,,,,,,,,,,
I,04413895,A,,044,13,895,FIAT,DUCATO MAXI CARGO VIDRIFAUDRAG LO4HN2,,43520000,32380000,29140000,26220000,23600000,21240000,,,,,,,,,,,,,,,,,,,
I,04413711,A,,044,13,711,FIAT,DUCATO MAXICARGO 2.3 JTDFURGON,,,,,,,19528400,18262200,17190500,16303100,15425500,14626200,13760200,13123900,12426900,11872900,,,,,,,,,,
I,04413597,A,,044,13,597,FIAT,DUCATO MAXICARGO 2.8 ID FTUDRGON,,,,,,,,,,,,,,,,9026700,8647400,8268100,7850400,7473000,5093800,4737300,4508200,,,
I,04413631,A,,044,13,631,FIAT,DUCATO MAXICARGO 2.8JTDFURGON,,,,,,,,,,,,,,,,9026700,8647400,8268100,7850400,7473000,5093800,4737300,4508200,,,
I,04413656,A,,044,13,656,FIAT,DUCATO MAXICARGO 2.8JTDF IUNRTGEORCNO,,,,,,,,,,,,,,,,9026700,8647400,8268100,7850400,7473000,5093800,4737300,4508200,,,
I,04413664,A,,044,13,664,FIAT,DUCATO MAXICARGO JTD FURGON,,,,,,,,,,,,,,,,9026700,8647400,8268100,7850400,7473000,5093800,4737300,4508200,,,
I,04415062,A,,044,15,062,FIAT,DUCATO MINIBUS TRANS.DE PASAJEROS,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04434324,A,,044,34,324,FIAT,DUCATO OTROS SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04413008,A,,044,13,008,FIAT,DUCATO Q 14 DIESEL FURGON,,,,,,,,,,,,,,,,,,,,,,,,2253400,2095700,1949000
I,04413501,A,,044,13,501,FIAT,DUCATO VETRATO 15 2.8D FURGON,,,,,,,,,,,,,,,,,,,,,,2853300,2760500,2681600,2602700,2523800
I,04402183,A,,044,02,183,FIAT,DUNA SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,888800,839500,777700,728400
I,04402198,A,,044,02,198,FIAT,DUNA 1.7 D SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,925900,777700,740700
I,04402185,A,,044,02,185,FIAT,DUNA 70 SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,888800,839500,777700,728400
N,0281707,A,028,17,12,07,FIAT,DUNA CLS SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,888800,839500,777700,728400
N,0481707,A,048,17,12,07,FIAT,DUNA CLS SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,888800,839500,777700,728400
N,0281705,A,028,17,12,05,FIAT,DUNA CS SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,888800,839500,777700,728400
N,0481705,A,048,17,12,05,FIAT,DUNA CS SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,888800,839500,777700,728400
N,0271709,A,027,17,12,09,FIAT,DUNA CS D SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,294600
N,0281706,A,028,17,12,06,FIAT,DUNA CSAA SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,888800,839500,777700,728400
N,0481706,A,048,17,12,06,FIAT,DUNA CSAA SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,888800,839500,777700,728400
N,0041797,A,004,17,12,97,FIAT,DUNA CSD SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,925900,777700,740700
N,0281709,A,028,17,12,09,FIAT,DUNA CSD SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,925900,777700,740700
N,0481709,A,048,17,12,09,FIAT,DUNA CSD SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,925900,777700,740700
N,0281710,A,028,17,12,10,FIAT,DUNA CSDAA SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,925900,777700,740700
N,0481710,A,048,17,12,10,FIAT,DUNA CSDAA SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,925900,777700,740700
I,04434401,A,,044,34,401,FIAT,DUNA CSI SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,,,294600
N,0281713,A,028,17,12,13,FIAT,DUNA CSL SEDAN 4 PUERTAS,,,,,,,,,,,,,,,,,,,,,,,,,,294600
